id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
03318,03,318,3,1021,0,391,0,14,377,271,106,27,340.3333333333333,0.0,0.3829578844270323,0.0,0.013712047012732615,0.3692458374142997,0.2654260528893242,0.10381978452497552,0.02644466209598433
03319,03,319,3,1514,0,523,0,56,467,294,173,62,504.6666666666667,0.0,0.34544253632760896,0.0,0.036988110964332896,0.3084544253632761,0.19418758256274768,0.1142668428005284,0.04095112285336856
033A,03,3A,3,0,0,801,801,89,712,374,338,69,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
033B,03,3B,3,0,0,913,913,89,824,473,351,92,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
033C,03,3C,3,0,0,1093,1093,61,1032,603,429,59,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
033D,03,3D,3,0,0,903,903,54,849,587,262,57,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
033E,03,3E,3,0,0,626,626,39,587,393,194,52,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
03401,03,401,4,1765,0,473,2,34,439,282,157,47,441.25,0.0,0.2679886685552408,0.0011331444759206798,0.019263456090651557,0.24872521246458923,0.15977337110481588,0.08895184135977337,0.026628895184135977
03402,03,402,4,1616,0,519,5,36,483,313,170,51,404.0,0.0,0.32116336633663367,0.003094059405940594,0.022277227722772276,0.2988861386138614,0.1936881188118812,0.1051980198019802,0.03155940594059406
03403,03,403,4,1627,0,624,0,50,574,362,212,65,406.75,0.0,0.3835279655808236,0.0,0.03073140749846343,0.35279655808236016,0.22249539028887522,0.13030116779348494,0.03995082974800246
03404,03,404,4,1189,0,454,2,31,423,276,147,37,297.25,0.0,0.38183347350714886,0.001682085786375105,0.02607232968881413,0.35576114381833474,0.2321278385197645,0.12363330529857022,0.031118587047939444
03405,03,405,4,1534,0,389,0,25,364,259,105,33,383.5,0.0,0.25358539765319427,0.0,0.016297262059973925,0.23728813559322035,0.16883963494132986,0.06844850065189048,0.02151238591916558
03406,03,406,4,1559,0,514,2,38,476,306,170,56,389.75,0.0,0.3296985246953175,0.0012828736369467607,0.024374599101988453,0.30532392559332905,0.19627966645285438,0.10904425914047466,0.0359204618345093
03407,03,407,4,1496,0,392,0,40,352,230,122,32,374.0,0.0,0.2620320855614973,0.0,0.026737967914438502,0.23529411764705882,0.1537433155080214,0.08155080213903744,0.0213903743315508
03408,03,408,4,1705,0,476,0,50,426,261,165,50,426.25,0.0,0.27917888563049853,0.0,0.02932551319648094,0.2498533724340176,0.1530791788856305,0.0967741935483871,0.02932551319648094
03409,03,409,4,1121,0,321,2,32,289,167,122,30,280.25,0.0,0.2863514719000892,0.001784121320249777,0.028545941123996433,0.25780553077609275,0.14897413024085637,0.10883140053523639,0.026761819803746655
03410,03,410,4,1264,0,379,2,20,359,283,76,25,316.0,0.0,0.2998417721518987,0.0015822784810126582,0.015822784810126583,0.28401898734177217,0.22389240506329114,0.060126582278481014,0.01977848101265823
03411,03,411,4,1499,0,476,2,22,454,237,217,24,374.75,0.0,0.31754503002001333,0.00133422281521014,0.01467645096731154,0.3028685790527018,0.1581054036024016,0.1447631754503002,0.016010673782521682
03412,03,412,4,1418,0,462,3,38,424,227,197,40,354.5,0.0,0.32581100141043723,0.0021156558533145277,0.02679830747531735,0.29901269393511987,0.16008462623413258,0.1389280677009873,0.028208744710860368
03413,03,413,4,1726,0,554,6,35,519,292,227,44,431.5,0.0,0.320973348783314,0.0034762456546929316,0.020278099652375436,0.3006952491309386,0.16917728852838934,0.13151796060254925,0.02549246813441483
03414,03,414,4,1574,0,642,6,44,598,375,223,58,393.5,0.0,0.4078780177890724,0.0038119440914866584,0.02795425667090216,0.3799237611181703,0.23824650571791614,0.14167725540025414,0.036848792884371026
03415,03,415,4,1679,0,508,0,37,471,291,180,43,419.75,0.0,0.3025610482430018,0.0,0.022036926742108397,0.2805241215008934,0.17331745086360928,0.1072066706372841,0.02561048243001787
03416,03,416,4,1505,0,468,0,5,463,270,193,5,376.25,0.0,0.3109634551495017,0.0,0.0033222591362126247,0.30764119601328904,0.17940199335548174,0.1282392026578073,0.0033222591362126247
03417,03,417,4,1586,0,403,5,46,357,195,162,39,396.5,0.0,0.2540983606557377,0.0031525851197982345,0.029003783102143757,0.22509457755359394,0.12295081967213115,0.1021437578814628,0.02459016393442623
034A,03,4A,4,0,0,493,493,37,456,278,178,33,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
034B,03,4B,4,0,0,708,708,44,664,409,255,43,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
034C,03,4C,4,0,0,621,621,54,567,320,247,36,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
034D,03,4D,4,0,0,472,472,49,423,251,172,43,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
034E,03,4E,4,0,0,762,762,45,717,407,310,45,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
03501,03,501,5,1462,0,573,0,50,523,348,175,68,292.4,0.0,0.39192886456908343,0.0,0.03419972640218878,0.35772913816689467,0.23803009575923392,0.11969904240766074,0.046511627906976744
03502,03,502,5,1115,0,476,3,24,452,303,149,38,223.0,0.0,0.42690582959641254,0.0026905829596412557,0.021524663677130046,0.4053811659192825,0.2717488789237668,0.1336322869955157,0.034080717488789235
03503,03,503,5,1409,0,614,2,31,583,388,195,37,281.8,0.0,0.43577004968062455,0.0014194464158978,0.0220014194464159,0.4137686302342087,0.2753726046841732,0.1383960255500355,0.0262597586941093
