address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
03B9E,03,Pankow,9E,B,039E,O,09,82,0,436,1,434,117,26.95852534562212,25,5.76036866359447,87,20.046082949308754,83,19.12442396313364,37,8.525345622119817,13,2.995391705069124,72,16.589861751152075
03B9F,03,Pankow,9F,B,039F,O,09,82,0,557,1,555,138,24.864864864864867,46,8.288288288288289,126,22.702702702702705,113,20.36036036036036,55,9.90990990990991,16,2.8828828828828827,61,10.99099099099099
03B9G,03,Pankow,9G,B,039G,O,09,82,0,564,1,562,141,25.088967971530252,46,8.185053380782918,128,22.77580071174377,115,20.462633451957295,56,9.9644128113879,16,2.8469750889679712,60,10.676156583629894
03B9H,03,Pankow,9H,B,039H,O,09,82,0,343,2,341,62,18.181818181818183,38,11.143695014662756,72,21.114369501466275,69,20.234604105571847,38,11.143695014662756,15,4.398826979472141,47,13.78299120234604
03B9I,03,Pankow,9I,B,039I,O,09,82,0,400,1,399,72,18.045112781954884,61,15.288220551378446,84,21.052631578947366,78,19.548872180451127,34,8.521303258145362,20,5.012531328320802,50,12.531328320802004
03B9K,03,Pankow,9K,B,039K,O,09,82,0,467,1,466,73,15.665236051502147,132,28.32618025751073,80,17.167381974248926,89,19.098712446351932,23,4.935622317596566,16,3.4334763948497855,53,11.373390557939913
03B9L,03,Pankow,9L,B,039L,O,09,82,0,598,1,597,78,13.06532663316583,162,27.1356783919598,102,17.08542713567839,117,19.597989949748744,30,5.025125628140704,31,5.192629815745393,77,12.897822445561138
03B9M,03,Pankow,9M,B,039M,O,09,82,0,354,1,353,51,14.44759206798867,124,35.12747875354108,39,11.048158640226628,69,19.54674220963173,16,4.53257790368272,10,2.8328611898017,44,12.464589235127479
03B9N,03,Pankow,9N,B,039N,O,09,82,0,398,1,397,44,11.083123425692696,157,39.54659949622166,58,14.609571788413097,70,17.632241813602015,11,2.770780856423174,16,4.030226700251889,41,10.327455919395465
03B9P,03,Pankow,9P,B,039P,O,09,82,0,610,2,608,75,12.335526315789473,241,39.63815789473684,91,14.967105263157896,105,17.269736842105264,17,2.7960526315789473,27,4.440789473684211,52,8.552631578947368
03B9Q,03,Pankow,9Q,B,039Q,O,09,82,0,677,0,677,163,24.076809453471196,197,29.098966026587885,125,18.46381093057607,74,10.930576070901035,24,3.5450516986706058,50,7.385524372230429,44,6.499261447562777
03B9R,03,Pankow,9R,B,039R,O,09,82,0,367,2,365,47,12.876712328767123,142,38.9041095890411,50,13.698630136986301,73,20,10,2.73972602739726,15,4.10958904109589,28,7.671232876712329
03B9S,03,Pankow,9S,B,039S,O,09,82,0,409,1,408,53,12.990196078431374,159,38.970588235294116,57,13.970588235294118,81,19.852941176470587,11,2.696078431372549,17,4.166666666666666,30,7.352941176470589
03B9T,03,Pankow,9T,B,039T,O,09,82,0,692,0,692,164,23.699421965317917,203,29.335260115606935,127,18.352601156069365,77,11.127167630057803,25,3.6127167630057806,51,7.369942196531793,45,6.502890173410404
03B9U,03,Pankow,9U,B,039U,O,09,82,0,376,0,376,55,14.627659574468085,134,35.638297872340424,44,11.702127659574469,76,20.212765957446805,18,4.787234042553192,10,2.6595744680851063,39,10.372340425531915
03B9V,03,Pankow,9V,B,039V,O,09,82,0,426,0,426,64,15.023474178403756,173,40.61032863849765,67,15.727699530516432,68,15.96244131455399,11,2.5821596244131455,23,5.39906103286385,20,4.694835680751173
03B9W,03,Pankow,9W,B,039W,O,09,82,0,354,0,354,41,11.581920903954803,124,35.02824858757062,54,15.254237288135593,74,20.903954802259886,15,4.23728813559322,15,4.23728813559322,31,8.757062146892656
03W100,03,Pankow,100,W,031A,O,01,75,1365,497,4,492,68,13.821138211382115,110,22.35772357723577,118,23.983739837398375,70,14.227642276422763,61,12.398373983739837,16,3.2520325203252036,49,9.959349593495935
03W101,03,Pankow,101,W,031B,O,01,75,1218,398,2,395,60,15.18987341772152,40,10.126582278481013,104,26.329113924050635,53,13.41772151898734,64,16.20253164556962,13,3.2911392405063293,61,15.443037974683543
03W102,03,Pankow,102,W,031B,O,01,75,963,320,6,313,50,15.974440894568689,39,12.460063897763577,84,26.837060702875398,49,15.654952076677317,51,16.293929712460063,7,2.2364217252396164,33,10.543130990415335
03W103,03,Pankow,103,W,031C,O,01,75,1133,324,4,319,48,15.047021943573668,27,8.463949843260188,86,26.959247648902824,42,13.166144200626958,68,21.316614420062695,9,2.8213166144200628,39,12.225705329153605
03W104,03,Pankow,104,W,031C,O,01,75,1434,366,4,362,56,15.469613259668508,8,2.209944751381215,110,30.386740331491712,46,12.70718232044199,96,26.519337016574585,10,2.7624309392265194,36,9.94475138121547
03W105,03,Pankow,105,W,031D,O,01,75,1038,419,6,413,79,19.128329297820823,18,4.358353510895883,116,28.087167070217916,71,17.191283292978206,90,21.791767554479417,5,1.2106537530266344,34,8.232445520581114
03W106,03,Pankow,106,W,031E,O,01,75,1304,359,0,359,50,13.92757660167131,19,5.2924791086350975,76,21.16991643454039,49,13.649025069637883,122,33.98328690807799,4,1.1142061281337048,39,10.86350974930362
03W107,03,Pankow,107,W,031E,O,01,75,881,297,7,290,46,15.862068965517242,14,4.827586206896552,60,20.689655172413794,37,12.758620689655173,92,31.724137931034484,7,2.413793103448276,34,11.724137931034482
03W108,03,Pankow,108,W,031F,O,01,75,1321,478,10,468,98,20.94017094017094,15,3.205128205128205,107,22.863247863247864,64,13.675213675213676,124,26.495726495726498,14,2.9914529914529915,46,9.82905982905983
