address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_afd,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
07W202,07,Tempelhof-Schöneberg,202,W,072A,W,02,80,1120,445,3,442,105,23.755656108597282,155,35.06787330316742,55,12.44343891402715,31,7.013574660633484,25,5.656108597285068,39,8.823529411764707,32,7.239819004524888
07W203,07,Tempelhof-Schöneberg,203,W,072B,W,02,80,1189,531,6,525,124,23.61904761904762,212,40.38095238095238,41,7.809523809523809,47,8.952380952380953,18,3.428571428571429,39,7.428571428571429,44,8.380952380952381
07W204,07,Tempelhof-Schöneberg,204,W,072C,W,02,80,1218,515,8,507,124,24.45759368836292,209,41.222879684418146,42,8.284023668639055,45,8.875739644970414,12,2.366863905325444,33,6.508875739644971,42,8.284023668639055
07W205,07,Tempelhof-Schöneberg,205,W,072D,W,02,80,1119,472,12,460,114,24.782608695652176,170,36.95652173913043,23,5,60,13.043478260869565,13,2.8260869565217392,28,6.086956521739131,52,11.304347826086957
07W206,07,Tempelhof-Schöneberg,206,W,072E,W,02,80,1225,452,6,446,112,25.112107623318387,169,37.89237668161435,21,4.708520179372197,54,12.10762331838565,15,3.3632286995515694,29,6.502242152466367,46,10.31390134529148
07W207,07,Tempelhof-Schöneberg,207,W,072F,W,02,80,954,360,6,354,65,18.361581920903955,153,43.22033898305085,21,5.932203389830509,55,15.53672316384181,11,3.1073446327683616,21,5.932203389830509,28,7.909604519774012
07W208,07,Tempelhof-Schöneberg,208,W,072G,W,02,80,1187,473,3,470,103,21.914893617021278,210,44.680851063829785,26,5.531914893617021,55,11.702127659574469,6,1.276595744680851,31,6.595744680851063,39,8.297872340425531
07W209,07,Tempelhof-Schöneberg,209,W,072G,W,02,80,993,420,8,412,102,24.75728155339806,88,21.35922330097087,46,11.165048543689322,45,10.922330097087379,53,12.864077669902912,18,4.368932038834951,60,14.563106796116504
07W210,07,Tempelhof-Schöneberg,210,W,072H,W,02,80,1174,439,12,427,114,26.697892271662766,71,16.627634660421545,72,16.861826697892273,49,11.475409836065573,28,6.557377049180328,31,7.259953161592506,62,14.519906323185012
07W211,07,Tempelhof-Schöneberg,211,W,072I,W,02,80,1017,267,3,264,51,19.318181818181817,112,42.42424242424242,22,8.333333333333332,39,14.772727272727273,12,4.545454545454546,8,3.0303030303030303,20,7.575757575757576
07W212,07,Tempelhof-Schöneberg,212,W,072F,W,02,80,1173,446,8,438,82,18.72146118721461,188,42.922374429223744,27,6.164383561643835,71,16.210045662100455,14,3.1963470319634704,23,5.251141552511415,33,7.534246575342466
07W213,07,Tempelhof-Schöneberg,213,W,072K,W,02,80,1093,354,3,351,58,16.524216524216524,172,49.002849002849004,29,8.262108262108262,40,11.396011396011396,13,3.7037037037037033,12,3.418803418803419,27,7.6923076923076925
07W214,07,Tempelhof-Schöneberg,214,W,072L,W,02,80,1338,418,3,415,70,16.867469879518072,207,49.87951807228916,33,7.951807228915662,47,11.325301204819278,14,3.3734939759036147,14,3.3734939759036147,30,7.228915662650602
07W215,07,Tempelhof-Schöneberg,215,W,072M,W,02,80,1130,463,12,451,114,25.277161862527713,169,37.472283813747225,22,4.878048780487805,59,13.082039911308204,12,2.6607538802660753,27,5.986696230598669,48,10.643015521064301
07W216,07,Tempelhof-Schöneberg,216,W,072N,W,02,80,1227,426,5,421,111,26.365795724465556,166,39.42992874109264,19,4.513064133016627,52,12.351543942992874,13,3.0878859857482186,27,6.413301662707839,33,7.8384798099762465
07W217,07,Tempelhof-Schöneberg,217,W,072M,W,02,80,1081,440,6,434,90,20.737327188940093,183,42.16589861751152,26,5.990783410138248,55,12.672811059907835,21,4.838709677419355,21,4.838709677419355,38,8.755760368663594
07W218,07,Tempelhof-Schöneberg,218,W,072H,W,02,80,1054,228,3,225,32,14.222222222222221,59,26.222222222222225,47,20.88888888888889,36,16,30,13.333333333333334,3,1.3333333333333335,18,8
07W219,07,Tempelhof-Schöneberg,219,W,072I,W,02,80,988,283,4,279,58,20.78853046594982,113,40.50179211469534,26,9.31899641577061,47,16.845878136200717,12,4.301075268817205,9,3.225806451612903,14,5.017921146953405
07W220,07,Tempelhof-Schöneberg,220,W,072P,W,02,80,1144,334,5,329,68,20.66869300911854,125,37.99392097264438,26,7.90273556231003,51,15.501519756838904,17,5.167173252279635,16,4.86322188449848,26,7.90273556231003
07W221,07,Tempelhof-Schöneberg,221,W,072R,W,02,80,1074,383,13,370,102,27.56756756756757,71,19.18918918918919,54,14.594594594594595,40,10.81081081081081,25,6.756756756756757,26,7.027027027027027,52,14.054054054054054
07W222,07,Tempelhof-Schöneberg,222,W,072S,W,02,80,1133,443,8,435,86,19.770114942528735,186,42.758620689655174,23,5.287356321839081,60,13.793103448275861,17,3.9080459770114944,31,7.126436781609195,32,7.35632183908046
07W223,07,Tempelhof-Schöneberg,223,W,072T,W,02,80,1109,452,11,441,108,24.489795918367346,149,33.78684807256236,40,9.070294784580499,52,11.791383219954648,17,3.8548752834467117,40,9.070294784580499,35,7.936507936507936
07W224,07,Tempelhof-Schöneberg,224,W,072R,W,02,80,1003,368,9,359,108,30.08356545961003,97,27.019498607242337,42,11.699164345403899,32,8.913649025069638,16,4.456824512534819,26,7.242339832869081,38,10.584958217270195
07W225,07,Tempelhof-Schöneberg,225,W,072U,W,02,80,1165,416,8,408,99,24.264705882352942,130,31.862745098039213,46,11.27450980392157,48,11.76470588235294,18,4.411764705882353,39,9.558823529411764,28,6.862745098039216
07W226,07,Tempelhof-Schöneberg,226,W,072U,W,02,80,1068,385,8,377,101,26.790450928381965,117,31.03448275862069,41,10.875331564986737,39,10.344827586206897,21,5.570291777188329,37,9.814323607427056,21,5.570291777188329
07W227,07,Tempelhof-Schöneberg,227,W,072V,W,02,80,1161,400,5,395,99,25.063291139240505,127,32.151898734177216,24,6.075949367088607,46,11.645569620253164,27,6.8354430379746836,21,5.3164556962025316,51,12.91139240506329
07W228,07,Tempelhof-Schöneberg,228,W,072L,W,02,80,792,246,4,242,60,24.793388429752067,82,33.88429752066116,19,7.851239669421488,23,9.50413223140496,12,4.958677685950414,16,6.6115702479338845,30,12.396694214876034
07W229,07,Tempelhof-Schöneberg,229,W,072W,W,02,80,1085,366,4,362,83,22.92817679558011,138,38.12154696132597,35,9.668508287292818,35,9.668508287292818,12,3.314917127071823,27,7.458563535911603,32,8.83977900552486
07W230,07,Tempelhof-Schöneberg,230,W,072W,W,02,80,1053,404,4,400,91,22.75,153,38.25,41,10.25,45,11.25,15,3.75,36,9,19,4.75
07W301,07,Tempelhof-Schöneberg,301,W,073A,W,03,80,1094,459,6,453,105,23.178807947019866,159,35.099337748344375,43,9.492273730684326,51,11.258278145695364,20,4.415011037527594,47,10.375275938189846,28,6.181015452538632
07W302,07,Tempelhof-Schöneberg,302,W,073A,W,03,80,1194,486,3,483,133,27.536231884057973,172,35.61076604554865,49,10.144927536231885,45,9.316770186335404,22,4.554865424430641,41,8.488612836438923,21,4.3478260869565215
07W303,07,Tempelhof-Schöneberg,303,W,073B,W,03,80,1104,488,2,486,114,23.456790123456788,172,35.390946502057616,60,12.345679012345679,38,7.818930041152264,20,4.11522633744856,41,8.436213991769549,41,8.436213991769549
07W304,07,Tempelhof-Schöneberg,304,W,073B,W,03,80,1159,455,5,450,122,27.111111111111114,152,33.77777777777778,46,10.222222222222223,26,5.777777777777778,26,5.777777777777778,39,8.666666666666668,39,8.666666666666668
07W305,07,Tempelhof-Schöneberg,305,W,073C,W,03,80,1245,481,7,474,116,24.47257383966245,171,36.075949367088604,50,10.548523206751055,34,7.172995780590717,25,5.274261603375527,44,9.282700421940929,34,7.172995780590717
07W306,07,Tempelhof-Schöneberg,306,W,073D,W,03,80,1169,463,7,456,121,26.535087719298247,145,31.798245614035086,34,7.456140350877193,40,8.771929824561402,22,4.824561403508771,53,11.62280701754386,41,8.991228070175438
07W307,07,Tempelhof-Schöneberg,307,W,073E,W,03,80,1056,431,8,423,89,21.04018912529551,168,39.71631205673759,50,11.82033096926714,37,8.747044917257684,21,4.964539007092199,32,7.5650118203309695,26,6.1465721040189125
07W308,07,Tempelhof-Schöneberg,308,W,073E,W,03,80,1254,492,4,488,133,27.25409836065574,186,38.114754098360656,48,9.836065573770492,35,7.172131147540983,15,3.0737704918032787,47,9.631147540983607,24,4.918032786885246
07W309,07,Tempelhof-Schöneberg,309,W,073F,W,03,80,1233,483,3,480,110,22.916666666666664,180,37.5,51,10.625,42,8.75,17,3.5416666666666665,50,10.416666666666668,30,6.25
07W310,07,Tempelhof-Schöneberg,310,W,073G,W,03,80,1109,453,4,449,102,22.717149220489976,176,39.198218262806236,51,11.358574610244988,37,8.240534521158128,15,3.34075723830735,43,9.57683741648107,25,5.56792873051225
07W311,07,Tempelhof-Schöneberg,311,W,073H,W,03,80,1212,498,4,494,111,22.469635627530366,180,36.43724696356275,67,13.562753036437247,40,8.097165991902834,19,3.8461538461538463,52,10.526315789473683,25,5.060728744939271
07W312,07,Tempelhof-Schöneberg,312,W,073I,W,03,80,1193,468,6,462,116,25.108225108225106,152,32.900432900432904,65,14.06926406926407,35,7.575757575757576,18,3.896103896103896,50,10.822510822510822,26,5.627705627705628
