address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
02W403,,02,Friedrichshain-Kreuzberg,403,,4,83,O,1320,966,354,0,681,1,18,663,343,320
02W404,,02,Friedrichshain-Kreuzberg,404,,4,83,O,1544,1158,386,0,739,7,20,719,356,363
02W405,,02,Friedrichshain-Kreuzberg,405,,4,83,O,1435,1063,372,0,745,3,23,722,360,362
02W406,,02,Friedrichshain-Kreuzberg,406,,4,83,O,831,563,268,0,426,6,13,413,211,202
02W407,,02,Friedrichshain-Kreuzberg,407,,4,83,O,959,621,338,0,563,13,11,552,243,309
02W408,,02,Friedrichshain-Kreuzberg,408,,4,83,O,1362,929,433,0,696,6,22,674,330,344
02W409,,02,Friedrichshain-Kreuzberg,409,,4,83,O,1018,748,270,0,528,12,10,518,252,266
02W410,,02,Friedrichshain-Kreuzberg,410,,4,83,O,1312,985,327,0,752,6,31,721,332,389
02W411,,02,Friedrichshain-Kreuzberg,411,,4,83,O,1355,966,389,0,777,4,21,756,319,437
02W412,,02,Friedrichshain-Kreuzberg,412,,4,83,O,1358,1005,353,0,678,9,26,652,313,339
02W413,,02,Friedrichshain-Kreuzberg,413,,4,83,O,1599,1111,488,0,853,7,17,836,351,485
02W414,,02,Friedrichshain-Kreuzberg,414,,4,83,O,1425,968,457,0,703,11,21,682,296,386
02W415,,02,Friedrichshain-Kreuzberg,415,,4,83,O,1851,1252,599,0,911,6,13,898,438,460
02W416,,02,Friedrichshain-Kreuzberg,416,,4,83,O,1483,1025,458,0,653,5,12,641,314,327
02W417,,02,Friedrichshain-Kreuzberg,417,,4,83,O,1699,1220,479,0,815,5,21,794,378,416
02W418,,02,Friedrichshain-Kreuzberg,418,,4,83,O,1140,818,322,0,582,2,17,565,278,287
02W419,,02,Friedrichshain-Kreuzberg,419,,4,83,O,1653,1218,434,1,910,12,17,893,422,471
02W420,,02,Friedrichshain-Kreuzberg,420,,4,83,O,1401,965,436,0,786,8,11,775,361,414
02W421,,02,Friedrichshain-Kreuzberg,421,,4,83,O,1251,805,446,0,667,10,22,645,251,394
02W422,,02,Friedrichshain-Kreuzberg,422,,4,83,O,1456,1049,407,0,822,9,30,792,328,464
02W423,,02,Friedrichshain-Kreuzberg,423,,4,83,O,948,677,271,0,448,6,8,440,223,217
02W424,,02,Friedrichshain-Kreuzberg,424,,4,83,O,1221,892,329,0,555,6,21,534,272,262
02W425,,02,Friedrichshain-Kreuzberg,425,,4,83,O,1652,1263,389,0,859,7,15,844,440,404
02W426,,02,Friedrichshain-Kreuzberg,426,,4,83,O,872,678,194,0,441,3,16,425,241,184
02W501,,02,Friedrichshain-Kreuzberg,501,,5,83,O,1621,1162,459,0,862,7,28,834,376,458
02W502,,02,Friedrichshain-Kreuzberg,502,,5,83,O,1776,1266,510,0,972,0,25,947,444,503
